Dataset,nTrees,Rep,K,BaggingAccuracy,BaggingPrecision,BaggingRecall,BaggingF1,SAAccuracy,SAPrecision,SARecall,SAF1
pima,50,2,2,0.7142857142857143,0.7108994708994709,0.7142857142857143,0.7120991253644314,0.7142857142857143,0.707384403036577,0.7142857142857143,0.7062055591467357
pima,50,2,3,0.7792207792207793,0.7777104377104377,0.7792207792207793,0.7783287419651056,0.7597402597402597,0.7561739611996607,0.7597402597402597,0.7571150196341995
pima,50,2,4,0.7973856209150327,0.7938959338586231,0.7973856209150327,0.7947161297544929,0.803921568627451,0.8002884209352168,0.803921568627451,0.8007472219657094
pima,50,2,5,0.7843137254901961,0.7779770444763271,0.7843137254901961,0.779310491866192,0.7843137254901961,0.7784085606744019,0.7843137254901961,0.7691833327319663
pima,50,3,1,0.7272727272727273,0.7231468531468531,0.7272727272727273,0.7247017688194158,0.7467532467532467,0.7401405933516025,0.7467532467532467,0.740694711986578
pima,50,3,2,0.7207792207792207,0.7182211727666272,0.7207792207792207,0.7192206024064431,0.7532467532467533,0.7490096381605816,0.7532467532467533,0.7477152027871251
pima,50,3,3,0.7922077922077922,0.7897984368572604,0.7922077922077922,0.7904377104377104,0.7792207792207793,0.7758041958041958,0.7792207792207793,0.776251210026663
pima,50,3,4,0.7647058823529411,0.7609710550887021,0.7647058823529411,0.7622844089091947,0.7647058823529411,0.7586223813962616,0.7647058823529411,0.7593837535014006
pima,50,3,5,0.8235294117647058,0.8193149210903874,0.8235294117647058,0.8194358569814298,0.7777777777777778,0.7692307692307693,0.7777777777777778,0.767910767910768
pima,50,4,1,0.7337662337662337,0.7289513207880556,0.7337662337662337,0.7305510023956625,0.7662337662337663,0.7617771379563832,0.7662337662337663,0.7627626513977172
pima,50,4,2,0.7272727272727273,0.7241077441077441,0.7272727272727273,0.7251855287569573,0.7012987012987013,0.6941007106101446,0.7012987012987013,0.6946026139002041
pima,50,4,3,0.7727272727272727,0.7705110133654874,0.7727272727272727,0.7713127773982507,0.7857142857142857,0.7822628753231258,0.7857142857142857,0.781056121240824
pima,50,4,4,0.7712418300653595,0.7723504747811073,0.7712418300653595,0.771762104510129,0.7843137254901961,0.7796697626418989,0.7843137254901961,0.7754283108592274
pima,50,4,5,0.8104575163398693,0.8061577173242178,0.8104575163398693,0.8011386087743216,0.7843137254901961,0.7771836007130125,0.7843137254901961,0.7715323166303559
