dataset,k_cross,rep,fitness,accuracy,spearman_corr,spearman_p,theta,beta,gamma
digits,4,5,0.35836520516392634,0.9275766016713092,-0.13807254293413318,5.623005004002274e-10,0.25,0.5,0.75
digits,5,1,0.3569259892364368,0.9303621169916435,-0.01639891748956957,0.4635750959410676,0.25,0.5,0.75
digits,5,2,0.35856455481902083,0.9220055710306406,-0.2453108536242641,8.53837437554503e-29,0.25,0.5,0.75
digits,5,3,0.349125692849238,0.924791086350975,-0.03623547082245414,0.10522832090190616,0.25,0.5,0.75
digits,5,4,0.34967142873038376,0.9387186629526463,0.057733907086077695,0.009809338615482197,0.25,0.5,0.75
digits,5,5,0.3502775743311336,0.924791086350975,-0.1172063933566032,1.46839991141517e-07,0.25,0.5,0.75
digits,1,1,0.362795782794897,0.9416666666666667,-0.08135642622503676,0.00027038727222243846,0.25,0.5,1.0
digits,1,2,0.34264745358926074,0.9472222222222222,-0.05468937420625696,0.014441702744797611,0.25,0.5,1.0
digits,1,3,0.3542741946007596,0.95,0.06978427954412564,0.0017919780320080833,0.25,0.5,1.0
digits,1,4,0.34139241217715466,0.9444444444444444,-0.3583596115543085,1.1533315673351324e-61,0.25,0.5,1.0
digits,1,5,0.35589646021732724,0.9388888888888889,0.04872443365699505,0.029335023648484573,0.25,0.5,1.0
digits,2,1,0.3538579919398394,0.9472222222222222,0.09434741475453723,2.3773791239426244e-05,0.25,0.5,1.0
digits,2,2,0.3554198576316804,0.9333333333333333,0.33822062427127997,1.0337818531049125e-54,0.25,0.5,1.0
digits,2,3,0.3509342171058701,0.9444444444444444,-0.14158205783488698,2.019576014370998e-10,0.25,0.5,1.0
digits,2,4,0.3515118091683689,0.9416666666666667,0.013491573226386284,0.5465008853656486,0.25,0.5,1.0
digits,2,5,0.3453608478411866,0.9222222222222223,-0.32594366634455624,1.015507525396805e-50,0.25,0.5,1.0
digits,3,1,0.3309715753234492,0.9025069637883009,-0.2695641872391567,1.2237196614238229e-34,0.25,0.5,1.0
digits,3,2,0.34974353834291416,0.8969359331476323,-0.08450956232820693,0.0001544581816311243,0.25,0.5,1.0
digits,3,3,0.35033902077348267,0.9192200557103064,-0.16852954657516828,3.287075208424914e-14,0.25,0.5,1.0
digits,3,4,0.3504821553830784,0.8885793871866295,-0.13321567183746172,2.2240671194978924e-09,0.25,0.5,1.0
digits,3,5,0.34458686849314124,0.8941504178272981,-0.11420369633272882,3.040589757670793e-07,0.25,0.5,1.0
digits,4,1,0.3358348076753534,0.9303621169916435,-0.041005113262306395,0.06673878968848372,0.25,0.5,1.0
digits,4,2,0.35473468831495536,0.9136490250696379,-0.09634727393627633,1.5878745579807768e-05,0.25,0.5,1.0
digits,4,3,0.3539341835295803,0.9303621169916435,0.029114549563565004,0.19308595667074552,0.25,0.5,1.0
digits,4,4,0.35353013524913973,0.9164345403899722,-0.3508991256444854,4.977971531524838e-59,0.25,0.5,1.0
digits,4,5,0.34709451588167883,0.9387186629526463,-0.10326741496970111,3.696619602425245e-06,0.25,0.5,1.0
digits,5,1,0.3537332898000317,0.9331476323119777,0.13198016160008605,3.131054628707332e-09,0.25,0.5,1.0
digits,5,2,0.34506757416856865,0.9108635097493036,-0.2499929281602456,7.102368179632272e-30,0.25,0.5,1.0
digits,5,3,0.34103128245209735,0.9052924791086351,0.06155347347562106,0.005893559873785268,0.25,0.5,1.0
digits,5,4,0.3538274265644955,0.924791086350975,0.09146595427354287,4.1941853341509566e-05,0.25,0.5,1.0
digits,5,5,0.3484754150702427,0.9164345403899722,0.29622730649435774,8.534904924128665e-42,0.25,0.5,1.0
digits,1,1,0.45982923054474245,0.95,0.6493544899875324,7.226296062477189e-240,0.25,0.75,0.25
digits,1,2,0.4506476571290259,0.9388888888888889,0.27532999924698587,4.0385190128711536e-36,0.25,0.75,0.25
digits,1,3,0.4674350387521672,0.9416666666666667,0.42611033355279493,4.893759811161161e-89,0.25,0.75,0.25
digits,1,4,0.46796035975196787,0.9361111111111111,0.2119853010245796,9.38476261893037e-22,0.25,0.75,0.25
