dataset,fold,rep,beta,gamma,delta,fitness,spearman_corr,spearman_p,accuracy,precision,recall,f1
pima,3,1,0.5,0.25,0.05,0.4676430233197255,0.01556247416722573,0.48669063331419093,0.7447916666666666,0.7282967032967033,0.6958289148108872,0.704364767620903
pima,3,2,0.5,0.25,0.05,0.5023776268426822,-0.050432452677901494,0.02410615867739795,0.71875,0.7029811144061183,0.6532343584305409,0.6596638655462186
pima,3,3,0.5,0.25,0.05,0.5068188781683156,0.0009872667329334805,0.9648053083746072,0.703125,0.6761971830985916,0.6474019088016967,0.6529570318693516
pima,4,1,0.5,0.25,0.05,0.5036948198696546,-0.07701980527601586,0.0005660127491889665,0.7395833333333334,0.722569879015436,0.688582537999293,0.696969696969697
pima,4,2,0.5,0.25,0.05,0.47386252465018347,-0.39730588095432573,1.3012607145539716e-76,0.71875,0.6971599828742685,0.662778366914104,0.6696826812794698
pima,4,3,0.5,0.25,0.05,0.5003134463436114,0.195113322736082,1.3081580993382127e-18,0.71875,0.6932585701541991,0.6786850477200425,0.68359375
pima,1,1,0.5,0.5,0.01,0.6113343059245154,-0.12793749501072196,9.380256016052031e-09,0.7083333333333334,0.6810916179337232,0.6641922940968541,0.669250645994832
pima,1,2,0.5,0.5,0.01,0.5918890837699747,-0.0560409293791483,0.01218883409187197,0.6979166666666666,0.6770186335403727,0.6846942382467303,0.6795211235179003
pima,1,3,0.5,0.5,0.01,0.6340798442782803,0.164189590755695,1.4862292314379333e-13,0.7604166666666666,0.7400768245838669,0.7430187345351715,0.7414519906323185
pima,2,1,0.5,0.5,0.01,0.6044062085456743,-0.0963793556659137,1.577525656450725e-05,0.78125,0.7509386733416771,0.725816543611563,0.7352941176470589
pima,2,2,0.5,0.5,0.01,0.585011433131162,0.060385239718642285,0.006907172395107934,0.7916666666666666,0.7627256685217862,0.7422099862345138,0.7504873294346979
pima,2,3,0.5,0.5,0.01,0.5592538350131496,0.06813065436607245,0.0022996146935729033,0.7552083333333334,0.7174242424242425,0.7154924289826055,0.7164315117996418
pima,3,1,0.5,0.5,0.01,0.5832549632658715,0.03874354010031964,0.08323245602648437,0.7083333333333334,0.6825198164372132,0.6546482856132909,0.6606060606060606
pima,3,2,0.5,0.5,0.01,0.6018049512673247,-0.2954216276316753,1.442164229601589e-41,0.671875,0.6354422604422605,0.6039236479321315,0.6050027756914738
pima,3,3,0.5,0.5,0.01,0.5899198571836212,-0.16890758825189084,2.876742504240103e-14,0.7552083333333334,0.7533783783783784,0.6944149876281371,0.7053195310714169
pima,4,1,0.5,0.5,0.01,0.5836750792946273,0.09304551504597083,3.078722486200111e-05,0.7395833333333334,0.7209176055382109,0.6917638741604808,0.6996621198848705
pima,4,2,0.5,0.5,0.01,0.584309372606625,0.11921706194948896,8.927796321701045e-08,0.7291666666666666,0.7092198581560283,0.6772711205372923,0.6848484848484848
pima,4,3,0.5,0.5,0.01,0.5766948148487062,0.10221996500292473,4.637314360047039e-06,0.7395833333333334,0.7367145856889032,0.6726758571933545,0.6814863968148639
pima,1,1,0.5,0.5,0.05,0.6021196159354786,-0.2730822935260917,1.541785899813085e-35,0.6875,0.6595820895522388,0.6574761399787912,0.6584440227703985
pima,1,2,0.5,0.5,0.05,0.5850618807991766,-0.039038581416087244,0.08090964760521756,0.7291666666666666,0.7054328358208956,0.702721809826794,0.7039848197343453
pima,1,3,0.5,0.5,0.05,0.6039620365971713,-0.008439279550648118,0.7060347753440717,0.703125,0.675,0.6633085896076352,0.6673050615595075
pima,2,1,0.5,0.5,0.05,0.5860377331749891,-0.1847821423093733,8.058618609662418e-17,0.7760416666666666,0.7427536231884058,0.7263796771367789,0.7331178277032488
pima,2,2,0.5,0.5,0.05,0.6218239475407061,-0.13440605922458018,1.5949204211309537e-09,0.75,0.7105507631055077,0.6985358528344388,0.7035512094698919
pima,2,3,0.5,0.5,0.05,0.5851147366490783,0.018631930558349292,0.40495943909376797,0.78125,0.7509386733416771,0.725816543611563,0.7352941176470589
pima,3,1,0.5,0.5,0.05,0.5595815549740231,-0.1088050688072831,1.075181064930279e-06,0.703125,0.6782310899344848,0.6410392364793214,0.6462259576531437
pima,3,2,0.5,0.5,0.05,0.5959332534303177,-0.00741988282122988,0.7401729226332077,0.7135416666666666,0.6897183098591549,0.6587133262636974,0.6651339781195498
