dataset,fold,rep,beta,gamma,delta,fitness,spearman_corr,spearman_p,accuracy,precision,recall,f1
breast_cancer,4,2,0.25,0.75,0.05,0.33255577371703837,0.32908080567815945,1.0090127746175661e-51,0.9788732394366197,0.9793771043771045,0.9760710553814003,0.9776671035386633
breast_cancer,4,3,0.25,0.75,0.05,0.33905290955474554,-0.05228834004732585,0.019359071302150206,0.9647887323943662,0.9644360269360269,0.9612330198537096,0.962778505897772
breast_cancer,1,1,0.5,0.25,0.01,0.5205711354309166,0.170903223625142,1.4157933156166046e-14,0.951048951048951,0.9417190775681341,0.9531182795698925,0.9468937344156189
breast_cancer,1,2,0.5,0.25,0.01,0.5313314280047025,-0.09229513042843929,3.568001320153837e-05,0.965034965034965,0.9685283687943262,0.9546236559139785,0.9609992908961981
breast_cancer,1,3,0.5,0.25,0.01,0.5259485924112607,0.0974008075966643,1.2796768207902482e-05,0.965034965034965,0.9636343899261832,0.959247311827957,0.9613784907902555
breast_cancer,2,1,0.5,0.25,0.01,0.5024713091354036,0.0994672209813305,8.327603480822675e-06,0.9366197183098591,0.9379902480390079,0.9289867109634552,0.9330013106159896
breast_cancer,2,2,0.5,0.25,0.01,0.5197215422276622,0.15424304299015978,4.056859114549999e-12,0.9577464788732394,0.9626068376068375,0.9495431893687707,0.9551767676767677
breast_cancer,2,3,0.5,0.25,0.01,0.5225214198286414,0.281376882902199,1.0320483541759645e-37,0.9366197183098591,0.9379902480390079,0.9289867109634552,0.9330013106159896
breast_cancer,3,1,0.5,0.25,0.01,0.5373929008567931,-0.017864997796479612,0.4245738813732365,0.9577464788732394,0.9580864603906079,0.9497953027364792,0.953695652173913
breast_cancer,3,2,0.5,0.25,0.01,0.5094301032153008,0.06743676753655133,0.0025494156868931884,0.9436619718309859,0.9388062917474682,0.9388062917474682,0.9388062917474682
breast_cancer,3,3,0.5,0.25,0.01,0.5141625116497396,0.10871527329883467,1.0974645860159354e-06,0.9647887323943662,0.9636956521739131,0.9595992243051066,0.9615863225666829
breast_cancer,4,1,0.5,0.25,0.01,0.5132757037943697,0.274586004260412,6.30096291172729e-36,0.9788732394366197,0.9793771043771045,0.9760710553814003,0.9776671035386633
breast_cancer,4,2,0.5,0.25,0.01,0.5243421052631579,0.19222087164153703,4.2461927851814375e-18,0.9788732394366197,0.9833333333333334,0.9727272727272727,0.9775067321400286
breast_cancer,4,3,0.5,0.25,0.01,0.520924636600359,0.09526433743486976,1.9776851501210065e-05,0.971830985915493,0.9737121051515794,0.9669801462904911,0.9701178451178452
breast_cancer,1,1,0.5,0.25,0.05,0.5178018575851393,0.08702661553632852,9.742759853096535e-05,0.958041958041958,0.9581140350877193,0.949247311827957,0.9534303082935303
breast_cancer,1,2,0.5,0.25,0.05,0.5248550861091439,-0.18040585852973767,4.3020719186923787e-16,0.9300699300699301,0.9231182795698925,0.9231182795698925,0.9231182795698925
breast_cancer,1,3,0.5,0.25,0.05,0.5223989647643259,0.11122284058197607,6.151321403237115e-07,0.958041958041958,0.9538709677419355,0.9538709677419355,0.9538709677419355
breast_cancer,2,1,0.5,0.25,0.05,0.5087535139279326,0.045332191135235546,0.04265301797490778,0.9436619718309859,0.9474358974358974,0.9348006644518272,0.9402356902356903
breast_cancer,2,2,0.5,0.25,0.05,0.5290106079151367,0.2019915782185222,7.383837277538297e-20,0.9436619718309859,0.941029900332226,0.941029900332226,0.941029900332226
breast_cancer,2,3,0.5,0.25,0.05,0.5196225430196558,0.0139008348387186,0.5343985710624799,0.9507042253521126,0.9472652218782249,0.9499584717607974,0.9485587124152564
breast_cancer,3,1,0.5,0.25,0.05,0.516934243182181,0.18720454680501267,3.131809257605507e-17,0.971830985915493,0.9694031458737341,0.9694031458737341,0.9694031458737341
breast_cancer,3,2,0.5,0.25,0.05,0.5294084047327622,0.19543201656663348,1.1476992151567534e-18,0.971830985915493,0.9736668861092824,0.9650937297996122,0.9691304347826086
breast_cancer,3,3,0.5,0.25,0.05,0.5234414524683803,0.058115074192227605,0.009334404857470054,0.9647887323943662,0.960042735042735,0.9639086403792286,0.9619160006436732
breast_cancer,4,1,0.5,0.25,0.05,0.5168472052223583,-0.07995053527994299,0.00034492261631825566,0.9507042253521126,0.9529914529914529,0.9430512016718913,0.9475157083267332
breast_cancer,4,2,0.5,0.25,0.05,0.5247858017135862,0.24416906082721443,1.5534449391665253e-28,0.9647887323943662,0.9681623931623932,0.957889237199582,0.9625112202333809
breast_cancer,4,3,0.5,0.25,0.05,0.5044509030489022,-0.028414962123861617,0.20400707497675627,0.9507042253521126,0.9529914529914529,0.9430512016718913,0.9475157083267332
breast_cancer,1,1,0.5,0.5,0.01,0.5427100583195335,-0.07411877390933666,0.0009092991170512609,0.965034965034965,0.9685283687943262,0.9546236559139785,0.9609992908961981
breast_cancer,1,2,0.5,0.5,0.01,0.5638310893512852,0.2746386461570727,6.10601358907481e-36,0.951048951048951,0.9444799658994032,0.948494623655914,0.9464276157345465
breast_cancer,1,3,0.5,0.5,0.01,0.55734394124847,-0.07604800159241278,0.0006646181613104293,0.972027972027972,0.969247311827957,0.969247311827957,0.969247311827957
breast_cancer,2,1,0.5,0.5,0.01,0.5469634242926057,0.21069337450305942,1.6711530489596585e-21,0.9577464788732394,0.9587542087542087,0.9526578073089701,0.9554858934169279
breast_cancer,2,2,0.5,0.5,0.01,0.550652719728075,0.04293913259584864,0.05486025253348469,0.9366197183098591,0.9349007314524556,0.9321013289036545,0.9334478987658179
breast_cancer,2,3,0.5,0.5,0.01,0.5711444308445532,-0.0687880162748712,0.00208383240373173,0.9295774647887324,0.9262873754152824,0.9262873754152824,0.9262873754152824
breast_cancer,3,1,0.5,0.5,0.01,0.5530140198438852,0.12886296728942984,7.3183041444539235e-09,0.9577464788732394,0.9580864603906079,0.9497953027364792,0.953695652173913
breast_cancer,3,2,0.5,0.5,0.01,0.5440176918145094,0.2385231078537745,2.862933860780331e-27,0.9788732394366197,0.9791304347826086,0.9748976513682397,0.9769517935400097
breast_cancer,3,3,0.5,0.5,0.01,0.5633081161472413,0.09002653920291802,5.53557358458374e-05,0.9788732394366197,0.9791304347826086,0.9748976513682397,0.9769517935400097
breast_cancer,4,1,0.5,0.5,0.01,0.5539340524836242,0.27569969368739067,3.235965900624565e-36,0.9577464788732394,0.962723550958845,0.9487983281086729,0.9548441806232775
breast_cancer,4,2,0.5,0.5,0.01,0.5550160932045877,0.13623710097173716,9.508964607325036e-10,0.971830985915493,0.9737121051515794,0.9669801462904911,0.9701178451178452
breast_cancer,4,3,0.5,0.5,0.01,0.5667707058343533,0.17625132201538898,2.0299639946892176e-15,0.9859154929577465,0.9887640449438202,0.9818181818181818,0.9850589225589226
breast_cancer,1,1,0.5,0.5,0.05,0.5470858233134135,0.03785639154823781,0.09054352671433465,0.951048951048951,0.9444799658994032,0.948494623655914,0.9464276157345465
breast_cancer,1,2,0.5,0.5,0.05,0.5605642012006761,0.034308774371403145,0.1250721358133278,0.951048951048951,0.94811115935736,0.9438709677419355,0.9459298871063577
breast_cancer,1,3,0.5,0.5,0.05,0.5465015966433534,0.09907260086892394,9.045535072247386e-06,0.9300699300699301,0.9231182795698925,0.9231182795698925,0.9231182795698925
breast_cancer,2,1,0.5,0.5,0.05,0.5275675755972574,0.04707923638907619,0.03526532799401769,0.9436619718309859,0.9438131313131313,0.9379152823920266,0.9406478578892372
breast_cancer,2,2,0.5,0.5,0.05,0.5529069767441861,-0.17038055965281118,1.7060802434900515e-14,0.9366197183098591,0.9349007314524556,0.9321013289036545,0.9334478987658179
breast_cancer,2,3,0.5,0.5,0.05,0.5535495716034271,0.062268567118186124,0.005341269250584536,0.9154929577464789,0.9089430894308943,0.9177740863787376,0.9125615763546798
breast_cancer,3,1,0.5,0.5,0.05,0.5439258925489036,-0.01833199542337213,0.41256504083018153,0.9507042253521126,0.9482608695652174,0.9443007972419737,0.9462208515933561
breast_cancer,3,2,0.5,0.5,0.05,0.5362047560762371,0.28049154801069265,1.775681110326259e-37,0.9788732394366197,0.9752136752136753,0.9792070674423615,0.9771496003862039
breast_cancer,3,3,0.5,0.5,0.05,0.5446185230518157,0.08881085794966834,6.975498139789541e-05,0.9859154929577465,0.9847015729368671,0.9847015729368671,0.9847015729368671
breast_cancer,4,1,0.5,0.5,0.05,0.5304825241398068,0.022841930714691674,0.3072464949280525,0.9507042253521126,0.9494949494949495,0.9463949843260189,0.9478899082568808
breast_cancer,4,2,0.5,0.5,0.05,0.5630332290675008,0.19775401781599214,4.393327523121383e-19,0.971830985915493,0.9737121051515794,0.9669801462904911,0.9701178451178452
breast_cancer,4,3,0.5,0.5,0.05,0.5665259077927377,-0.027260645134726206,0.22299703949635774,0.9788732394366197,0.9763289036544851,0.9794148380355276,0.9778159662552726
breast_cancer,1,1,0.5,0.75,0.01,0.640498776009792,0.015416763057081445,0.4907801512855643,0.986013986013986,0.9846236559139785,0.9846236559139785,0.9846236559139785
breast_cancer,1,2,0.5,0.75,0.01,0.5979498164014688,0.3035300552417215,6.802641352807302e-44,0.958041958041958,0.9505494505494505,0.958494623655914,0.9542838874680306
breast_cancer,1,3,0.5,0.75,0.01,0.6135808999242293,0.4798995264406669,1.0066439092421438e-115,0.951048951048951,0.94811115935736,0.9438709677419355,0.9459298871063577
breast_cancer,2,1,0.5,0.75,0.01,0.5969859241126071,-0.03394274716364019,0.12915209089599064,0.9436619718309859,0.9438131313131313,0.9379152823920266,0.9406478578892372
breast_cancer,2,2,0.5,0.75,0.01,0.6098198000977257,-0.13261482058922952,2.627588389232478e-09,0.9366197183098591,0.9379902480390079,0.9289867109634552,0.9330013106159896
breast_cancer,2,3,0.5,0.75,0.01,0.6027713178294574,-0.27557093571433317,3.4956817652979075e-36,0.9154929577464789,0.9139309764309764,0.9084302325581395,0.9109717868338558
breast_cancer,3,1,0.5,0.75,0.01,0.6126003331973344,0.4068002037067479,1.4226593819417378e-80,0.9647887323943662,0.9636956521739131,0.9595992243051066,0.9615863225666829
breast_cancer,3,2,0.5,0.75,0.01,0.5770886518622137,0.08497016846226647,0.00014209801807124763,0.9647887323943662,0.9636956521739131,0.9595992243051066,0.9615863225666829
breast_cancer,3,3,0.5,0.75,0.01,0.587762622269434,-0.1556213042114627,2.59791859239183e-12,0.9647887323943662,0.9636956521739131,0.9595992243051066,0.9615863225666829
breast_cancer,4,1,0.5,0.75,0.01,0.5905499831621379,0.15696076223397445,1.678189465784493e-12,0.971830985915493,0.9703239289446186,0.9703239289446186,0.9703239289446186
breast_cancer,4,2,0.5,0.75,0.01,0.5775765647720972,0.0822965865317741,0.00022927328178473685,0.9507042253521126,0.9627659574468085,0.9363636363636363,0.9466824009011425
breast_cancer,4,3,0.5,0.75,0.01,0.590048753600119,-0.5752747560523228,1.3495789054686403e-176,0.9436619718309859,0.9406478578892372,0.9406478578892372,0.9406478578892372
breast_cancer,1,1,0.5,0.75,0.05,0.5933803986710963,0.018797486050932434,0.4007974882183267,0.965034965034965,0.9636343899261832,0.959247311827957,0.9613784907902555
breast_cancer,1,2,0.5,0.75,0.05,0.5755660394277285,0.4078584607110504,5.052844441512921e-81,0.951048951048951,0.9444799658994032,0.948494623655914,0.9464276157345465
breast_cancer,1,3,0.5,0.75,0.05,0.5838317384370015,0.1325809867914634,2.652314971627285e-09,0.951048951048951,0.9444799658994032,0.948494623655914,0.9464276157345465
breast_cancer,2,1,0.5,0.75,0.05,0.6171358629130967,0.006312343125028528,0.7778492814722471,0.9366197183098591,0.9349007314524556,0.9321013289036545,0.9334478987658179
breast_cancer,2,2,0.5,0.75,0.05,0.6107717823971694,0.16024417895536533,5.657743159395591e-13,0.9436619718309859,0.941029900332226,0.941029900332226,0.941029900332226
breast_cancer,2,3,0.5,0.75,0.05,0.600214142242906,0.19480710067929943,1.4831196336764133e-18,0.9295774647887324,0.9262873754152824,0.9262873754152824,0.9262873754152824
breast_cancer,3,1,0.5,0.75,0.05,0.6025418196654426,0.03242453056138806,0.14718581600813346,0.971830985915493,0.9694031458737341,0.9694031458737341,0.9694031458737341
breast_cancer,3,2,0.5,0.75,0.05,0.5622551459148767,0.07865608933075172,0.0004301433242262179,0.9647887323943662,0.960042735042735,0.9639086403792286,0.9619160006436732
breast_cancer,3,3,0.5,0.75,0.05,0.5763310893512852,-0.04752727357231985,0.03355687436020698,0.9436619718309859,0.9359762560949756,0.9431157078215902,0.9393162393162393
breast_cancer,4,1,0.5,0.75,0.05,0.5930405956752346,0.1490026482781526,2.129589371536024e-11,0.971830985915493,0.9780219780219781,0.9636363636363636,0.9698961204155183
breast_cancer,4,2,0.5,0.75,0.05,0.5804268255352285,0.2866376149871137,3.94044267941744e-39,0.9788732394366197,0.9793771043771045,0.9760710553814003,0.9776671035386633
breast_cancer,4,3,0.5,0.75,0.05,0.5931861118233583,0.16084930880005893,4.618848429125595e-13,0.971830985915493,0.9703239289446186,0.9703239289446186,0.9703239289446186
breast_cancer,1,1,0.75,0.25,0.01,0.7756218950248397,-0.1609468068135612,4.4699840245039953e-13,0.972027972027972,0.9737938596491228,0.9646236559139785,0.9689535388623534
breast_cancer,1,2,0.75,0.25,0.01,0.7616768665850674,0.053066293423324105,0.01762585985387027,0.951048951048951,0.9444799658994032,0.948494623655914,0.9464276157345465
breast_cancer,1,3,0.75,0.25,0.01,0.755077727362371,0.13989963579468206,3.310039046950138e-10,0.972027972027972,0.969247311827957,0.969247311827957,0.969247311827957
breast_cancer,2,1,0.75,0.25,0.01,0.7730722154222767,0.20140173878541826,9.487064943648009e-20,0.9366197183098591,0.9349007314524556,0.9321013289036545,0.9334478987658179
breast_cancer,2,2,0.75,0.25,0.01,0.7738372093023256,0.021882591866728807,0.3280127220350735,0.9507042253521126,0.9530421878312487,0.9437292358803986,0.9478899082568808
breast_cancer,2,3,0.75,0.25,0.01,0.7644614443084455,-0.12736667849921277,1.092262344121794e-08,0.9225352112676056,0.9200626959247649,0.917358803986711,0.9186585429359996
breast_cancer,3,1,0.75,0.25,0.01,0.751525313731556,0.07276092490334742,0.001128943826808335,0.9577464788732394,0.9541047188106011,0.9541047188106011,0.9541047188106011
breast_cancer,3,2,0.75,0.25,0.01,0.7757649938800489,0.4125131018989161,5.090699194940925e-83,0.971830985915493,0.9660801356794573,0.973712561947856,0.9696581196581197
breast_cancer,3,3,0.75,0.25,0.01,0.7651045471478125,0.15080127195277016,1.2132896730181931e-11,0.9436619718309859,0.9359762560949756,0.9431157078215902,0.9393162393162393
breast_cancer,4,1,0.75,0.25,0.01,0.7880048959608323,0.14295674225615396,1.3428851725278073e-10,0.9788732394366197,0.9833333333333334,0.9727272727272727,0.9775067321400286
breast_cancer,4,2,0.75,0.25,0.01,0.7789320685434517,0.12584884145884753,1.631984554399049e-08,0.9788732394366197,0.9793771043771045,0.9760710553814003,0.9776671035386633
breast_cancer,4,3,0.75,0.25,0.01,0.7598084137404824,0.03583076207398042,0.10917485580606373,0.9647887323943662,0.9681623931623932,0.957889237199582,0.9625112202333809
breast_cancer,1,1,0.75,0.25,0.05,0.7768390452876377,0.04296166230538699,0.05473300654951256,0.965034965034965,0.9567085953878407,0.968494623655914,0.9620669531540135
breast_cancer,1,2,0.75,0.25,0.05,0.7787331701346389,0.12701806380218528,1.198288305176305e-08,0.951048951048951,0.94811115935736,0.9438709677419355,0.9459298871063577
